SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
SUBARU E7F CK101,REAL,0.0,109.87,-7.46,-20.73,78.71,-6.04,-18.65,41.24,-3.75,-15.29,24.14,-1.49,-15.87,18.68,-0.22,-17.22,0.0,0.0,0.0,28.56018488,0.0,28.56018488,0.0,7.363821497,0.137641523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.517430372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628310834,0.0,0.0,0.0,0.0,0.0,0.0,23.73827274,0.0,0.0,0.0,2.862968575,0.0,0.0,0.0,0.0,0.6311847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUBARU E7F CK101,PRED,2.4539999961853027,107.9000015258789,-6.570000171661377,-18.290000915527344,78.83000183105469,-5.059999942779541,-16.020000457763672,41.849998474121094,-2.3399999141693115,-13.729999542236328,24.420000076293945,-0.14000000059604645,-14.550000190734863,18.770000457763672,0.7599999904632568,-15.359999656677246,0.0,0.0,0.0,28.56018488,0.0,28.56018488,0.0,7.363821497,0.137641523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.517430372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628310834,0.0,0.0,0.0,0.0,0.0,0.0,23.73827274,0.0,0.0,0.0,2.862968575,0.0,0.0,0.0,0.0,0.6311847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI/VOLKS WAGEN LY8T CK101,REAL,0.0,47.58,4.18,20.5,30.66,3.32,14.37,14.26,1.38,5.25,10.0,0.34,0.94,8.73,0.02,-0.02,0.0,0.0,3.318676828,3.304121228,0.0,0.0,0.0,47.9751578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355554257,0.0,0.0,3.849210757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160829179,4.619730993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738013947,26.67870501,0.0,0.0,0.0,0.0,0.0,0.0
AUDI/VOLKS WAGEN LY8T CK101,PRED,3.8410000801086426,50.08000183105469,4.570000171661377,20.559999465942383,35.470001220703125,3.799999952316284,14.279999732971191,19.290000915527344,2.130000114440918,5.71999979019165,13.5,1.2200000286102295,0.9599999785423279,11.720000267028809,0.8399999737739563,-0.4399999976158142,0.0,0.0,3.318676828,3.304121228,0.0,0.0,0.0,47.9751578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355554257,0.0,0.0,3.849210757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160829179,4.619730993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738013947,26.67870501,0.0,0.0,0.0,0.0,0.0,0.0
HONDA NH716M CK002,REAL,0.0,79.71,1.22,-1.58,58.64,1.08,-1.6,28.99,1.0,-1.18,12.55,1.37,-0.84,7.02,1.33,-0.69,0.0,0.0,6.477700223,0.0,18.02129421,0.0,0.0,60.59497049,0.0,0.0,0.0,1.724486109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897944435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142996981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168787538,2.982874778,0.0,0.0,0.0,0.0,0.988945238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONDA NH716M CK002,PRED,2.049999952316284,75.27999877929688,0.4000000059604645,0.03999999910593033,55.810001373291016,0.36000001430511475,-0.49000000953674316,28.079999923706055,0.7099999785423279,-0.7200000286102295,12.039999961853027,1.5,-0.9800000190734863,6.480000019073486,1.7200000286102295,-0.9800000190734863,0.0,0.0,6.477700223,0.0,18.02129421,0.0,0.0,60.59497049,0.0,0.0,0.0,1.724486109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897944435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142996981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168787538,2.982874778,0.0,0.0,0.0,0.0,0.988945238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAIHATSU T25 CK103,REAL,0.0,72.33,2.13,9.74,67.06,1.88,10.19,62.94,1.62,10.63,62.23,1.67,9.2,60.16,1.55,8.5,59.99054975,0.0,0.0,0.0,0.0,0.0,0.0,21.7033341,11.3587543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257152694,0.0,0.0,0.0,4.846790778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.843418378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAIHATSU T25 CK103,PRED,2.134999990463257,72.01000213623047,3.2300000190734863,9.029999732971191,67.31999969482422,2.609999895095825,8.710000038146973,62.4900016784668,1.909999966621399,8.569999694824219,60.34000015258789,1.9600000381469727,7.670000076293945,57.279998779296875,1.9800000190734863,7.5,59.99054975,0.0,0.0,0.0,0.0,0.0,0.0,21.7033341,11.3587543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257152694,0.0,0.0,0.0,4.846790778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.843418378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAIHATSU S30 CK013,REAL,0.0,64.85,-4.82,-6.79,52.7,-4.45,-6.71,32.89,-3.87,-6.05,19.83,-3.21,-6.4,14.44,-2.87,-6.87,8.744429383,0.0,0.0,0.0,0.0,0.0,20.38688923,57.65858125,0.273518805,0.221468391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434737256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.050893746,0.0,0.0,2.899898623,0.0,1.32958332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAIHATSU S30 CK013,PRED,2.188999891281128,65.58999633789062,-4.989999771118164,-6.28000020980835,55.040000915527344,-5.099999904632568,-6.110000133514404,34.61000061035156,-4.309999942779541,-5.159999847412109,19.1299991607666,-2.6500000953674316,-4.489999771118164,12.609999656677246,-1.7699999809265137,-4.170000076293945,8.744429383,0.0,0.0,0.0,0.0,0.0,20.38688923,57.65858125,0.273518805,0.221468391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434737256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.050893746,0.0,0.0,2.899898623,0.0,1.32958332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISSAN C51 CK001,REAL,0.0,71.13,12.89,33.87,61.27,12.59,32.62,49.32,12.41,31.53,44.79,12.52,30.99,41.87,12.58,30.34,0.0,0.0,0.0,4.161503423,0.0,0.0,37.8318493,6.161186886,0.20153415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34934216,0.0,0.0,0.0,0.0,0.0,0.0,22.25318625,0.0,11.30609552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735302304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISSAN C51 CK001,PRED,3.177999973297119,70.98999786376953,13.40999984741211,31.139999389648438,61.22999954223633,11.989999771118164,30.06999969482422,49.470001220703125,11.180000305175781,28.90999984741211,43.79999923706055,11.460000038146973,27.510000228881836,40.619998931884766,11.600000381469727,26.8700008392334,0.0,0.0,0.0,4.161503423,0.0,0.0,37.8318493,6.161186886,0.20153415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34934216,0.0,0.0,0.0,0.0,0.0,0.0,22.25318625,0.0,11.30609552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735302304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUZUKI HAG CK000,REAL,0.0,103.62,4.69,16.65,84.98,4.03,13.07,56.88,2.69,5.39,41.77,2.35,-0.9,36.3,2.35,-2.66,40.12392487,0.0,0.0,0.0,0.0,15.46741004,6.63529474,6.27919205,0.0,0.0,0.0,0.0,3.655246931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285418786,13.80736363,0.0,0.0,1.054809887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019810766,5.671528303,0.0,0.0,0.0,0.0,0.0,0.0
SUZUKI HAG CK000,PRED,3.005000114440918,98.31999969482422,5.340000152587891,17.75,81.66000366210938,4.579999923706055,13.979999542236328,56.90999984741211,3.3299999237060547,6.389999866485596,43.2400016784668,3.0299999713897705,0.7599999904632568,37.97999954223633,3.049999952316284,-0.8299999833106995,40.12392487,0.0,0.0,0.0,0.0,15.46741004,6.63529474,6.27919205,0.0,0.0,0.0,0.0,3.655246931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285418786,13.80736363,0.0,0.0,1.054809887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019810766,5.671528303,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 787 CK000,REAL,0.0,124.31,-3.12,-2.2,98.05,-3.08,-3.3,60.79,-3.4,-4.77,41.78,-3.95,-7.34,36.22,-4.65,-9.69,35.85961607,0.0,0.0,0.0,0.0,59.44416628,0.0,0.0,0.243931847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824689766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12675716,2.357041369,0.0,0.0,0.0,0.0,1.143797506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 787 CK000,PRED,1.9989999532699585,121.51000213623047,-3.6500000953674316,-2.3499999046325684,98.63999938964844,-3.5299999713897705,-3.119999885559082,61.150001525878906,-3.2200000286102295,-5.539999961853027,39.84000015258789,-3.1500000953674316,-8.449999809265137,33.34000015258789,-3.4100000858306885,-9.789999961853027,35.85961607,0.0,0.0,0.0,0.0,59.44416628,0.0,0.0,0.243931847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824689766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12675716,2.357041369,0.0,0.0,0.0,0.0,1.143797506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 4S2 CK003,REAL,0.0,96.66,1.36,15.32,78.79,1.34,11.91,49.46,0.95,7.29,30.14,0.99,4.82,21.89,0.99,3.81,32.18799749,0.0,1.353199341,0.0,3.784371039,0.0,0.0,33.09768316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96030281,0.0,0.911115997,0.0,0.0,0.127243433,0.0,0.0,0.0,0.0,0.0,1.311178923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266907811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 4S2 CK003,PRED,1.4800000190734863,95.0999984741211,2.930000066757202,16.799999237060547,78.26000213623047,2.359999895095825,13.15999984741211,49.2400016784668,1.8300000429153442,7.820000171661377,29.489999771118164,1.7599999904632568,4.409999847412109,21.639999389648438,1.649999976158142,3.25,32.18799749,0.0,1.353199341,0.0,3.784371039,0.0,0.0,33.09768316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96030281,0.0,0.911115997,0.0,0.0,0.127243433,0.0,0.0,0.0,0.0,0.0,1.311178923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266907811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISSAN D42 CK001,REAL,0.0,86.95,-9.22,6.9,67.5,-6.54,4.88,39.02,-3.76,0.61,22.94,-2.82,-3.4,17.13,-2.65,-4.91,0.0,0.0,0.0,0.0,0.0,16.26956646,6.971206803,42.20684939,0.0,0.061108618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.90412217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59239423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065921376,0.0,0.0,0.0,0.928830956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
