SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
MMCC SMART EA6 CK001,REAL,0.0,25.37,18.8,-53.13,19.59,15.78,-44.96,12.83,12.83,-34.5,10.7,11.92,-29.35,9.46,11.36,-26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198817512,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7.861680876,39.27230022,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,8.657661484,0.0,0.0,0.0,1.479485694,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,25.13903012,0.0,15.5120689,0.0,1.878955195,0.0,0.0,0.0,0.0,0.0,0,0.0
MMCC SMART EA6 CK001,PRED,2.385999917984009,27.75,18.610000610351562,-56.220001220703125,21.329999923706055,13.930000305175781,-44.75,13.520000457763672,10.789999961853027,-33.4900016784668,10.289999961853027,10.670000076293945,-28.610000610351562,8.640000343322754,10.300000190734863,-25.940000534057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198817512,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7.861680876,39.27230022,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,8.657661484,0.0,0.0,0.0,1.479485694,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,25.13903012,0.0,15.5120689,0.0,1.878955195,0.0,0.0,0.0,0.0,0.0,0,0.0
MOTOYOTA 9AD CK002,REAL,0.0,75.15,5.87,-41.55,61.6,6.0,-38.13,38.77,6.32,-30.81,22.57,8.03,-25.89,15.85,8.88,-23.37,13.33101369,0.0,5.087924449,0.0,14.2388677,0.0,31.01318886,0.0,0.051769822,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.041479856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,8.740593874,0.0,19.55535949,0.0,2.4845441,0.0,4.455258163,0.0,0.0,0.0,0,0.0
MOTOYOTA 9AD CK002,PRED,2.1519999504089355,72.47000122070312,8.09000015258789,-41.04999923706055,60.06999969482422,7.630000114440918,-37.59000015258789,39.060001373291016,7.300000190734863,-30.15999984741211,23.969999313354492,9.050000190734863,-25.3700008392334,17.489999771118164,9.869999885559082,-23.290000915527344,13.33101369,0.0,5.087924449,0.0,14.2388677,0.0,31.01318886,0.0,0.051769822,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.041479856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,8.740593874,0.0,19.55535949,0.0,2.4845441,0.0,4.455258163,0.0,0.0,0.0,0,0.0
MOVOLVO 420 CK001,REAL,0.0,43.6,8.52,-14.01,30.92,7.72,-11.75,17.02,7.1,-8.37,11.89,7.57,-6.96,9.72,7.32,-6.41,9.099244557,0.0,0.0,0.0,0.0,0.0,0.0,26.97125615,0.227276881,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,24.07132769,0.0,0.0,0.0,0.757348407,0.0,0.0,0,0.0,13.04586764,0.0,0,0.0,0.0,0.0,0.0,1.466544087,0.0,0.0,24.36113458,0.0,0.0,0.0,0.0,0,0.0
MOVOLVO 420 CK001,PRED,2.3529999256134033,45.2599983215332,8.460000038146973,-15.050000190734863,32.75,7.429999828338623,-12.050000190734863,17.610000610351562,6.230000019073486,-7.610000133514404,10.369999885559082,6.139999866485596,-4.940000057220459,7.630000114440918,5.659999847412109,-3.799999952316284,9.099244557,0.0,0.0,0.0,0.0,0.0,0.0,26.97125615,0.227276881,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,24.07132769,0.0,0.0,0.0,0.757348407,0.0,0.0,0,0.0,13.04586764,0.0,0,0.0,0.0,0.0,0.0,1.466544087,0.0,0.0,24.36113458,0.0,0.0,0.0,0.0,0,0.0
SIMITSUOKA 111PU CK001,REAL,0.0,17.11,25.77,-12.71,9.86,18.42,-8.26,4.83,9.13,-1.97,4.4,7.11,-0.22,4.11,6.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.08194673,0.0,0.0,0,0.0,0.0,0.0,0,3.830431802,0,1.61219403,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,12.09145523,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.676234219,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19.81741946,0.0,0.0,0.0,0.0,0.0,0.913076323,28.97724221,0.0,0.0,0.0,0.0,0,0.0
SIMITSUOKA 111PU CK001,PRED,2.6070001125335693,17.34000015258789,26.709999084472656,-13.369999885559082,10.649999618530273,20.209999084472656,-9.020000457763672,4.829999923706055,12.800000190734863,-4.489999771118164,4.489999771118164,9.369999885559082,-2.319999933242798,4.389999866485596,7.510000228881836,-1.6699999570846558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.08194673,0.0,0.0,0,0.0,0.0,0.0,0,3.830431802,0,1.61219403,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,12.09145523,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.676234219,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19.81741946,0.0,0.0,0.0,0.0,0.0,0.913076323,28.97724221,0.0,0.0,0.0,0.0,0,0.0
STOYOTA 580 CK101,REAL,0.0,107.92,9.19,77.43,81.89,7.55,62.76,47.73,4.61,41.29,31.1,3.28,30.49,25.13,3.27,27.24,54.9573977,0.0,0.0,0.0,0.0,0.0,0.0,3.069512856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.31321194,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772463225,0.0,0.621298988,0.0,26.26611529,0,0.0
STOYOTA 580 CK101,PRED,3.308000087738037,104.4800033569336,9.119999885559082,71.9000015258789,80.9000015258789,8.890000343322754,59.13999938964844,48.0099983215332,6.840000152587891,40.61000061035156,32.029998779296875,4.340000152587891,31.290000915527344,26.81999969482422,3.369999885559082,28.43000030517578,54.9573977,0.0,0.0,0.0,0.0,0.0,0.0,3.069512856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.31321194,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772463225,0.0,0.621298988,0.0,26.26611529,0,0.0
