SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
SUZUKI HAG CK000,103.62,84.98,56.88,41.77,36.3,4.69,4.03,2.69,2.35,2.35,16.65,13.07,5.39,-0.9,-2.66,7.28,6.85,5.45,22.67,24.47,16.63,6.21,40.12392487,0,0,0,0,15.46741004,6.63529474,6.27919205,0,0,0,0,3.655246931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.285418786,13.80736363,0,0,1.054809887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019810766,5.671528303,0,0,0,0,0,0
TOYOTA 787 CK000,124.31,98.05,60.79,41.78,36.22,-3.12,-3.08,-3.4,-3.95,-4.65,-2.2,-3.3,-4.77,-7.34,-9.69,8.5,7.37,6.29,21.94,27.08,18.65,5.42,35.85961607,0,0,0,0,59.44416628,0,0,0.243931847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824689766,0,0,0,0,0,0,0,0,0,0,0,0,0.12675716,2.357041369,0,0,0,0,1.143797506,0,0,0,0,0,0,0
TOYOTA 4S2 CK003,96.66,78.79,49.46,30.14,21.89,1.36,1.34,0.95,0.99,0.99,15.32,11.91,7.29,4.82,3.81,12.2,9.86,8.4,26.14,27.09,24.32,6.94,32.18799749,0,1.353199341,0,3.784371039,0,0,33.09768316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96030281,0,0.911115997,0,0,0.127243433,0,0,0,0,0,1.311178923,0,0,0,0,0,0,0,0,0,2.266907811,0,0,0,0,0,0,0
NISSAN D42 CK001,86.95,67.5,39.02,22.94,17.13,-9.22,-6.54,-3.76,-2.82,-2.65,6.9,4.88,0.61,-3.4,-4.91,11.3,10.09,8.01,29.57,28.64,24.19,7.29,0,0,0,0,0,16.26956646,6.971206803,42.20684939,0,0.061108618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.90412217,0,0,0,0,0,0,0,2.59239423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.065921376,0,0,0,0.928830956,0,0,0,0,0,0,0
NISSAN B36 CK101,102.3,84.41,57.15,42.34,36.73,-4.94,-4.69,-4.47,-4.34,-4.49,-6.21,-7.68,-10.64,-14.8,-17.48,6.02,5.42,5.12,21.44,24.82,16.24,5.92,83.6167749,0,0,0,0,0,0,2.923542486,0.479620701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.250380998,0,0,0,0,0,0,0,0,0,0,0,0,0,6.197226866,0,0,1.591021752,0,0.941432294,0,0,0,0,0,0,0
TOYOTA 784 CK003,96.69,73.42,40.81,22.94,16.2,-12.67,-11.15,-8.43,-7.17,-6.59,-15.89,-13.64,-10.2,-8.99,-8.66,12.9,8.64,7.56,28.47,27.62,21.7,8.05,26.06271487,0,0,14.84484038,0,0,0,14.82316908,0,0.09226996,0,0,0,0,0,0,0,0,0,0,19.00406292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805060099,0,0,0,0,0,0,0,0,0,0,10.00720275,0,0,0,0,0.972011087,13.38866885,0,0,0,0,0,0
NISSAN C51 CK000,67.65,57.91,49.31,46.99,44.85,11,11.38,12.13,12.4,12.37,27.37,28.61,30.76,30.48,30.12,7.27,2.3,1.62,25.52,7.59,1.22,5.2,6.650465624,0,0,0,0,14.30752178,15.48372296,6.975951375,2.79433505,0,0,0,7.855404841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.39451422,0,13.9353972,0,0,0,0,0,0,0,0,0,1.301827636,6.300859307,0,0,0,0,0,0
NISSAN KAT CK000,56,39.76,18.76,7.77,4.73,-3.01,-1.48,-0.17,1.01,1.05,5.81,1.19,-3.35,-5.49,-4.54,20.85,16.28,12.17,33.22,24.97,14.54,6.56,0,0,0,0,0,4.790666933,2.055540103,58.61705204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37072207,0,0.552135614,0,0,0,0,0,0,0,0,0,0,0,0,3.529574333,0,4.714539339,0,0,0,1.369769562,0,0,0,0,0,0,0
ROVER PAB CK000,20.73,9.53,2.35,1.65,1.54,-0.74,-0.57,-0.06,0.06,0.07,-2.31,-1.24,-0.24,-0.15,-0.13,26.99,5.23,2.76,28.77,18.06,4.38,3.41,0,0,0,0,0,0,0,88.02743468,0,0,0,0,0,0,0,0,0,0,0,3.872879601,0.205518375,0,0,0,0,0,0,0,0,1.274213925,0,0,0,0,0,0,0,0,0.11386509,0,0,0,0,0,0,0,0,0,0.896779863,0,0,0,0,0.337077088,5.272231382,0,0,0,0,0,0
SUZUKI ZY4 CK021,65.22,49.45,25.29,10.47,5.7,-6.39,-5.42,-3.19,-0.51,0.62,-5.53,-4.85,-3.52,-2.39,-1.25,18.38,18.97,14.69,34.26,27.45,19.56,8.63,0,0,0,9.823334999,0,9.823334999,0,52.95095534,0,0,0,0,0,0,0,0,0,0,0,0,7.105737886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518151584,0,2.195247474,0,2.257681885,11.15261472,4.172941119,0,0,0,0,0
TOYOTA 8P2 CK004,109.56,84.12,47.74,28.99,22.98,-14.86,-12.92,-10.12,-9.27,-9.18,-12.69,-11.73,-9.78,-10.34,-11.42,14.41,13.89,10.34,31,29.49,21.88,7.55,17.31033145,0,0,57.85463818,0,0,0,14.97361714,0.122767511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.508026533,2.651413061,0,0,0,1.579206123,0,0,0,0,0,0,0
SUZUKI ZD9 CK006,69,56.58,35.73,21.72,15.59,-15.01,-13.23,-9.82,-6.93,-5.47,-0.07,-1.23,-3.02,-4.76,-5.27,6.64,5.1,4.88,25.21,25.72,20.73,7.01,8.525503216,0,0,0,0,0,19.84346446,9.076721096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.575101285,0,0,0,0,0.383709928,0,0,0,0,0,0,9.796271211,0,0,0,0,0,0,1.328592785,43.98669874,0,0,4.483937281,0,0,0
SUBARU 55M CK002,83.52,61.69,31.36,13.02,6.46,-12.18,-10.11,-6.57,-4.04,-2.42,9.46,7.2,3.7,1.18,0.16,11.25,9.31,9.35,29.56,27.87,22.58,7.93,0,0,0,0,0,16.92658295,8.40581581,63.69699371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029782844,0,0,0,0,0,0,0,0,0,0,0,1.970888594,0,0,0,0,0,0,0.36520602,0,0,8.604730079,0,0,0,0
