SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
DAIHATSU R27 CK101,33.23,24.18,15.49,13.45,12.5,50.73,41.13,31.31,28.17,26.85,20.32,17.99,15.04,13.4,12.55,4.71,2.29,2.35,30.65,21.27,9.19,2.64,0,0,0,0,0,0,2.838924183,4.782818082,0.146017499,0.133377062,0,0,23.73974791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375764977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.609582505,0,0,0,0,56.37376779,0,0,0,0,0,0,0,0
DAIHATSU R29 CK008,32.36,30.59,29.63,29.92,28.91,54.16,56.23,57.44,57.46,55.97,26.57,30.84,33.25,30.56,29.5,2.71,0.97,1.27,21.2,1.33,1.32,0.89,0,0,0,0,0,0,0,0,1.584335447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81367335,0,0,0,0,0,0,0,0,0,0,49.02764732,0,0,32.57434388,0,0,0,0,0,0,0,0,0,0
DAIHATSU R38 CK104,37.85,27.66,18.88,17.1,16.01,55.15,46.05,37.38,34.56,33.21,21.38,23.4,24.21,23.37,22.1,4.88,2.9,2.28,28.94,16.96,9.4,1.88,0,0,0,0,0,0,0,1.107950849,0,0,0,0,23.78717978,0,4.455322648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88934672,0,0,0,0,0,0,0,0,0,2.311971156,29.90500602,0,0,0,0,26.29964572,0,0,0,0,0,0,0,0.243577115,0,0,0,0,0,0,0
DAIHATSU R44 CK012,82.54,64.07,45.37,37.12,33.65,23.16,21.34,20.76,21.63,22.52,34.01,33.5,35.64,37.23,37.85,7.66,3.99,3.05,26.1,17.79,6.97,7.73,17.25297004,0,1.393600743,0,3.891759111,0,0,0.8368978,0.199291177,0,0,21.85469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.34995564,0,0,1.137859125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082976359,0,0,0,0,0,0,0
DAIHATSU R44 CK114,77.32,60.89,44.58,37.23,34.02,26.89,25.56,25.67,27.05,27.87,26.87,31.17,36.24,38.86,39.6,14.88,4.48,2.96,25.64,17.02,6.6,6.5,0,0,0,0,0,0,0,1.577014052,0.045586366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33207997,34.6709776,0,0,0,36.07548485,0,0,1.104650384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19420678,0
DAIHATSU R46 CK000,116.68,89.53,51.4,31.78,25.77,15.95,14.13,11.17,11.94,13.34,22.68,18.45,11.87,8.82,8.38,9.15,7.45,6.91,25.02,26.33,19.59,5.89,0,0,0,0,0,51.69383531,22.14113598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.539276106,0,0,3.64662525,0,0,0,0,0,0,0,0,3.085585844,0,6.251171654,0,0,0,0,0,0,3.319112346,0.323257518,0,0,0,0,0,0,0
DAIHATSU S12 CK001,88.67,72.21,44.03,24.45,16.67,0.67,0.93,1.59,2.98,3.71,-5.06,-4.77,-3.16,-0.54,0.92,11.8,10.67,9.72,29.35,29.75,23.74,7.5,25.87896459,0,0,13.04902903,0,13.04902903,0,38.9086777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.882052736,0,1.424716017,0,0,0,0,0,0,0,0,0,3.533636749,0,0,0,1.273894141,0,0,0,0,0,0,0
DAIHATSU S12 CK002,92.15,73.01,42.54,23.44,16.01,1.49,1.84,2.45,3.67,4.3,-9.13,-8.48,-5.87,-2.66,-1.07,11.79,9.94,6.83,29.12,28.95,24,7.41,26.06541507,0,0,13.8341777,0,13.8341777,0,34.76048894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.258205781,0,1.31314377,0,0,0,0,0,0,0,0,0,4.738309435,0,0,0,1.196081621,0,0,0,0,0,0,0
DAIHATSU S14 CK003,52.23,39.07,22.29,13.26,9.22,-6.96,-5.75,-3.89,-2.16,-1.36,-1.78,-1.56,-1.81,-2.12,-2.2,11.4,5.89,4.16,28.96,25.21,22.96,3.66,0,0,0,0,0,0,0,31.36734546,0.035147433,0,0,0,0,0,0,0,0,0,0,11.78813297,0,0,0,0,0,0,0,23.55822288,0,0,0,0,0,0,0,0,0,0.783617597,0,0.074787179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713266837,28.3317959,0,0,3.347683739,0,0,0
DAIHATSU S28 CK015,142.1,95.04,45.98,28.47,23.9,-1.74,-1.35,-1.04,-0.71,-0.81,-1.48,-2.4,-3.09,-4.38,-5.67,17.42,18.66,15.19,32.41,26.36,18.69,7.5,0,0,50.29631204,39.0156437,0,0,0,6.213184878,0.050057887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44310331,0.638984531,0,0,0,0,0,0,0,0,3.342713655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIHATSU S28 CK117,145.23,100.17,48,29.67,25.48,-2.26,-1.67,-1.01,-0.83,-1.02,0.38,-1.22,-3.52,-5.7,-6.93,14.78,19.24,15.46,30.09,27.57,19.28,6.85,0,0,25.04254617,65.07504219,0,0,0,5.128033278,0.018298844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875156093,0,0,0.141786022,0,0,0,0,0,0,3.59930497,0,0,0,0,0,0,0,0,0.119832432,0,0,0,0,0,0,0
DAIHATSU S35 CK008,86.01,67.88,40.93,25.3,19.08,-2.99,-2.57,-1.99,-1.4,-1.28,-1.12,-0.22,0.16,-0.78,-1.84,21.81,17.87,16.91,33.36,23.28,16.04,6.85,9.422165471,0,0,0,0,0,0,16.41767076,0.076979924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.32307292,0,0,0,0,0,0,0,0,0,0,0,0.062924766,0,0,0,0.513391416,0,0,0,0,0,0,0,0,1.808120804,14.82886391,0.546810032,0,0,0,0,0
DAIHATSU T23 CK004,130.28,96.39,52.88,33.07,27.14,-2.27,-2.08,-1.91,-1.95,-2.14,17.1,11.51,5.8,3.96,3.78,9.13,9.01,7.72,23.64,27.07,20.68,5.37,0,0,0,7.921366338,0,33.15571895,0,4.006976869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.71792507,0,0,0,0,0,0,0,0.032155958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245235743,3.619204914,0,0.527512676,0,0,0,1.773903474
DUCATI 473201 CK000,72.63,72.32,72.07,72.29,69.89,16.4,16.62,16.88,16.45,15.63,89.23,89.59,90.26,89.41,86.81,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,1.284304859,0,43.25784993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.72540277,0,0,0,0,0,0,0,7.66023253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072209912,0,0,0,0
FIAT 132 CK001,46.67,32.41,19.78,16.03,14.55,48.86,42.27,35.64,33.07,31.78,20.5,19.52,19.25,18.98,17.83,21,3.57,2.58,27.04,21.85,9.78,6.92,1.688466599,0,9.948000716,0,0,0,3.931115584,0,0,0,0,0,5.372393725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.510985735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38306611,0.442708729,0,0,0,0,0,14.7232628,0
FIAT 147B CK000,47.21,33.1,24.65,23.68,22.6,55.48,48.02,43.13,41.61,40.29,50.32,39.54,31.14,28.16,26.66,8.31,2.32,2.17,32.28,10.49,4.18,3.57,0,0,0,0,0,0,0,0,0.152163908,0,0,0,0,21.95372235,0,0,0,0,0,0,0,0,0,0,0,0,4.642196797,0,0,0,0,2.804660565,0,0,5.973421461,0,0,0,0,0,0,0,0,17.33317547,0,35.90367951,0,0,0,0,11.23697994,0,0,0,0,0,0,0,0,0,0
FIAT 163B CK000,53.52,34.61,18.3,14.73,13.38,54.61,42.99,29.82,25.65,24.26,39.61,29.72,20.61,17.93,16.46,8.37,4.48,3,31.71,20.16,14.53,4.11,0,0,0,0,0,0,0,7.24716968,0,0,0,0,0,12.88218311,0,0,0,0,3.766720208,0,0,0,0,0,0,0,0,0,0,0,10.99882301,7.307437203,0,0.631561628,0,0,0,0,0,0,14.24243239,0,0,0,0,42.92367277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT 182-A CK001,54.38,40.08,22.75,15.97,13.69,46.06,39.39,30.57,26.44,24.47,11.97,11.79,11.8,12.39,11.78,12.13,4.66,5.43,29.48,28.93,19.88,6.92,9.131949594,0,3.464007027,0,9.742519764,0,0,4.180567247,0.033403976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43476079,0,0,0,0,0,0,0,3.457753728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.57786753,1.201174121,3.775996223,0,0,0,0,0,0
FIAT 258 CK004,79.67,79.34,79.36,79.55,76.9,16.35,16.6,16.86,16.52,15.66,79.99,80.93,81.26,78.16,75.01,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0.349821222,8.879574189,34.16663479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6039698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT 330A CK001,68.44,45.33,19.64,10.08,6.94,-39.45,-31.26,-20.56,-15.28,-10.36,17.88,13.65,6.02,1.39,-0.16,25.07,17.81,11.09,34.33,24.71,13.28,10.73,0,0,6.328036242,6.300281697,0,0,0,33.08779776,0.01304972,0,0,0,0,0,0,0,0,0,0,0,0,0,12.66412914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947666378,0,0,39.11378387,1.006082115,0.539173079,0,0
FIAT 402 CK002,33.35,32.84,32.64,33.78,32.92,-7.54,-7.43,-7.38,-6.65,-6.51,-16.82,-17.05,-17.53,-18.97,-18.77,1.04,0,1.16,0.18,0,0.5,0.96,0,0,0,0,0,0,0,28.69975744,5.323284882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.63346009,4.42113602,0,0,0,0,0,0,25.92236156,0,0,0,0,0,0
FIAT 442 CK001,23.18,18.65,15.38,15.7,15.06,-0.62,0.03,0.63,1.57,1.68,-18.16,-18.61,-19.18,-20.72,-20.53,16.87,2.55,4.67,25.44,15.59,12.21,3.08,0,0,4.100353371,0,3.395403028,0,0,0,1.302087951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.60155573,0,20.90285771,0,0,0,1.276531588,58.42121062,0,0,0,0,0,0
FIAT 513 CK000,110.6,77.23,52.81,45.08,42.87,12.72,9.24,4.47,3.47,4.23,52.66,48.1,45.21,43.32,44.3,18.41,6.12,3.84,33.67,15.89,4.4,9.37,5.407848613,0,47.88543125,0,0,0,0,0.070584369,0,0.276801449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04701741,8.028972024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.283344881,0,0
FIAT 571 CK002,85.5,59.31,39.08,31.93,29.38,19.77,22.07,24.17,26.26,28.01,47.8,42.57,36.77,33.12,32.31,16.43,4.07,3.01,27.79,15.48,4.62,8.24,0,0,8.628377875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39138655,0,0,0,0,27.54897703,0,22.23155088,0,0,0,0,0.244558915,0,0,0,0,0,0,0,0,0,0,0,0,0,3.786696618,0,0,0,0,0,0,0,2.168452128
FIAT 571 CK003,76.77,55.32,41.36,36.86,34.54,20.61,29.61,37.79,41.09,41.91,38.9,40.2,43.92,44.19,43.66,17.5,4.25,2.82,29.07,11.28,3.78,7.68,0,0,4.686366534,4.191688182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.09228347,0,0,0,0,0,9.347171846,27.53356763,0,0,0,0,1.279661036,0,0,0,0,0,0,0,0,0,0,0,0,0,3.528594223,0,0,0,0,0,0,0,3.340667085
FIAT 680 CK001,83.59,63.84,33.69,18.25,13.5,-7.19,-5.9,-3.4,-1.28,-0.54,-0.35,-1.59,-4.33,-6.98,-7.26,25.76,23.74,21.27,37.28,27.96,19.49,11.26,0,0,35.03341661,9.395221891,0,0,0,24.50517138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71186941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635275361,0,1.250676224,0,1.597803802,22.13370318,2.736862141,0,0,0,0,0
FIAT 712A CK001,63.74,63.3,62.69,62.98,60.79,17.26,17.5,17.87,17.7,17.12,60.25,60.54,61.06,59.93,58.25,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,2.331107815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.66889219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT 712A CK002,64.93,64.45,63.85,64.15,61.97,16.56,16.86,17.22,17.04,16.45,58.44,59.36,60,58.66,56.9,0.01,0,0,0.15,0,0,0.49,0,0,0,0,0,0,0,0,3.527605888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.36513853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107255578,0,0,0,0
FIAT 737-A CK002,86.27,74.23,53.45,40.55,35.21,-12.57,-12.13,-10.51,-9.56,-9.05,-2.79,-5.62,-12.83,-20.58,-23.29,5.63,4.61,3.88,20.14,22.09,15.8,6.06,14.15235824,0,0,0,0,0,32.95697722,4.483028292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95932829,0,0,0,0,15.2750284,0,0,0,0,0,0,0,0,0,0,0,14.74700714,0,0,0,0,0.721063199,0,1.539286854,0,1.165922369,0,0,0,0,0
FIAT 754 CK000,38.02,27.57,14.24,8.51,6.66,-25.49,-20.07,-11.86,-5.53,-3.1,-12.58,-11.23,-9.48,-9.75,-9.37,6.52,2.96,4.11,30.05,26.63,9.96,4.57,0,0,0,0,0,0,0,0.738574571,0,0,0,0,0,0,0,0,0,0,7.882223414,0,0,50.40144449,0,0,0,0,0,0,0,0,3.332030807,0,0,0,0,21.68033102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291312034,0,0,0,15.67408366,0,0,0,0,0
FIAT 783A CK000,114.19,91.24,64.76,54.01,51.18,1.25,-0.63,-3.94,-5.74,-6,29.36,17.76,8.61,6.12,7.22,5.96,3.24,2.9,16.31,10.31,3.32,3.45,0,0,0,0,0,0,14.92016048,0,0.051933757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37806655,50.86259726,0,0,1.208024357,0,0,0,0,0.073815824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151366907,0,0.354034861,0,0
FORD 11W CK001,45.17,29.72,13.34,6.7,4.71,-23.07,-17.19,-10.09,-4.69,-2.5,-1.02,-5.03,-6.77,-7.35,-6.42,9.82,4.43,3.25,32.81,28,9.51,5.37,0.781087096,0,0,0,0,0,1.816670763,42.62544003,0.048985342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.739490259,10.05708487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.60332922,0,0,0,0,0,0,0,0,0,0,2.327912414,0,0,0
FORD 14D CK002,88.3,79.09,59.69,43.6,35.98,-22.08,-21.01,-19.49,-19.58,-20.35,0.22,-0.62,-2.4,-4.79,-6.08,5.42,5.12,4.73,19.24,23.71,19.01,5.67,26.44247136,0,0,0,0,0,49.34990041,4.997957359,0.335746869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.670305762,0,0,0,0,0,0,0,0,0,0,0,5.5754106,0,0,0,0,0,0,2.635956475,0,0,0,8.992251173,0,0,0
FORD 2 CK000,128.09,100.78,62.19,45.37,41.01,-0.59,-0.68,-1.01,-1.31,-1.66,12.67,8.06,0.29,-4.34,-5.15,11.58,10.14,8.14,26.83,26.57,17.68,5.85,27.60436452,0,0,35.27749391,0,3.433619026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.386985266,25.54435894,0,0,3.602820303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662082972,0,0,0,0,0,0,0.488275061
FORD 4Z CK000,73.48,62.13,40.79,24.25,16.71,-0.19,-0.11,-0.14,-0.24,-0.29,2.89,2.26,1.34,1.47,1.76,12.97,13.17,10.36,32.24,29.46,25.09,7.65,0,0,0,8.55351398,0,19.01710362,6.685264798,0,0,0.219637807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.388590151,0,0,0,0,0,0,0,0,0,0,0,0,0.07844307,0,0,0,0,0,0,0,0,0,0,0,0,0,2.417981618,55.63946496,0,0,0,0,0,0
FORD 7 CK001,51.54,33.71,16.29,10.7,8.4,-21.22,-14.69,-8.15,-4.72,-3.25,7.22,4.65,1.45,-0.29,-0.87,11.99,7.46,5.23,34.18,23.89,11.84,6.49,0,0,0,0,0,4.55261985,0,32.38915936,0.051807261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.31710036,0,0,0,0,0,0,0,0,0,0,0,0,0.807730595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118137541,29.25472458,0,0,8.508720449,0,0,0
FORD BA CK001,104.39,88.49,60.41,42.94,36.71,1.24,1.09,0.85,0.83,0.82,16.39,13.86,8.8,4.57,3.44,14.77,10.27,8.4,25.22,26.93,20.25,6.62,54.91596611,0,10.20408497,10.15933021,0,0,0,11.26481356,0,0.644229534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.672554122,0,0,0,0.623053847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100610725,0,0,0,0,0,0,2.415356922
FORD DD CK002,117.41,92.56,57.28,38.67,31.86,3.11,3.37,2.71,2.89,3.15,10.22,7.87,5.3,4.73,4.74,6.02,5.6,4.49,16.77,23.13,17.49,5.18,53.7300166,0,0,0,0,0,0,2.731490078,0.023125315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07397749,0,0,0,0,0,0,2.724839007,0.664613896,0,0,0,0,0,0,0,0,0,0,3.230771526,0,0,0,0,0,0,0,0.354013758,2.467152329,0,0,0,0,0,0
FORD E2472 CK001,27.07,17.65,12.11,11.81,11.09,39.34,31.32,25.74,24.53,23.51,9.97,10.39,10.4,9.75,9.05,10.04,2.45,2.65,29.8,8.75,4.36,2.5,0,0,0,0.414905935,0,0,0,0,0.130014504,0,0,18.03970617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89024349,0,12.5345633,0,1.726274836,22.337836,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92645576,0,0,0,0,0,0
FORD EX CK001,30.13,22.95,15.7,13.86,12.75,38.22,34.01,28.91,26.82,25.41,1.68,3.31,6.03,6.74,6.53,7.51,2.05,1.54,33.65,17.39,4.66,3.83,1.305726976,0,0,0,0,0,3.040014925,2.940019236,0.192337707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75779064,0,0,0,0,0,0,0,30.9861721,0,24.31198075,0,0,2.592058126,6.218398304,0,0,2.655501246,0,0,0,0,0,0
FORD F2544 CK001,40.63,29.37,15.41,9.12,6.7,-16.89,-12.92,-4.27,2.82,4.5,-32.46,-24.75,-18.01,-15.54,-13.55,7.89,4.33,3.64,32.33,28.46,11.78,4.71,1.726432011,0,0,0,0,0,4.014702127,17.74829896,0,0.042963687,0,0,0,0,0,0,0,0,0,0,24.38050769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423825091,0,0,0,0,0,0,0,0,0,0,0,0,4.491463555,0,0.25647208,16.03072164,30.88461317,0,0,0,0,0
FORD FA CK001,111.57,93.02,61.63,41.27,33.68,-13.61,-12.57,-10.75,-10.97,-12.12,8.42,5.12,0.14,-3.69,-4.77,7.65,7.14,5.91,20.66,24.01,19.84,5.44,27.84868824,0,0,2.852916897,0,2.852916897,27.43743903,4.428127226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.05612796,0,0,2.454987891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997813467,0,0,0,4.070982388,0,0,0
FORD FZ CK002,30.92,20.49,14.32,13.67,12.76,43.15,34.45,28.01,26.24,24.98,14.32,12.87,10.88,8.61,7.74,6.77,2.35,2.25,32.53,8.31,6.27,2.34,0,0,0,0,0,0,0,4.586131682,0.366071053,0,0,23.88441597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628659274,5.525825661,0,21.03761388,0,0,35.22003526,0,0,0,4.608934734,0,0,0,0,0,0,0,0,0,4.142312487,0,0,0,0,0,0
FORD H2696 CK001,36.13,25.85,13.1,7.95,6.42,-23.7,-18.54,-10.71,-4.68,-2.63,-12.02,-10.81,-9.17,-9.46,-9.01,6.65,2.83,2.47,32.91,25.92,7.56,4.4,1.769680346,0,0,0,0,0,6.621748004,58.4851703,0.209296745,0.164461715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.91528341,0,0,0,0,0,8.203156348,0,7.631203126,0,0,0
FORD H3 CK002,31.4,23.98,13.02,7.11,5.11,-28.94,-25.18,-16.31,-7.1,-3.53,-14.75,-12.35,-10.22,-9.79,-8.65,5.89,3.9,2.89,32.8,29.16,9.98,3.75,0,0,0,0,0,0,2.576154813,9.346830048,0,0,0,0,0,0,0,0,0,0,0,0,0,6.207665997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220166224,0,0,0,0,0,0,49.76399917,0,0,0,0,0,0,0.727409039,8.442298108,6.003794928,16.71168168,0,0,0,0
FORD JC CK001,37.23,27.35,17.94,15.84,14.57,19.78,14.64,7.72,4.27,2.93,8.78,3.68,-1.1,-3.66,-4.16,6.5,3.81,3.68,30.77,22.94,13.89,2.62,0,0,0,0,0,0,0.555605044,49.65775645,0.219417259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.24041239,0,0,0,4.099759113,4.662143662,0,0,0,0,0,0,0,1.656701321,0,0,0,0,0,0,0,0,0,0.908204757,0,0,0,0,0,0,0
FORD JY CK000,100.15,74.46,39.59,22.41,16.58,-1.25,-1.25,-1.48,-1.91,-1.96,30.03,23.36,12.78,6.31,4.18,14.23,12.49,9.1,31.2,27.13,22.15,7.97,6.752629823,0,0,17.39074531,0,0,0,32.33555033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83199564,0,0,0.19925075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791776752,0,0,1.32513752,0,0,0,5.372913872
FORD KF CK002,68.58,51.65,28.06,14.81,10.18,-28.26,-22.06,-10.48,-0.39,2.72,-46.78,-39.83,-30.21,-25.65,-23.23,9.09,6.58,5.79,29.48,27.29,21.27,5.58,0,0,0,0,0,17.76524825,7.61617329,2.361213358,0,0.46856112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33490468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.463090933,29.73213068,0,0,0,0,0.62157321,2.132708839,18.50439565,0,0,0,0,0
FORD KK CK000,89.87,70.04,42.79,28.6,23.13,-9.08,-6.58,-2.23,2.24,4,-22,-21.01,-19.58,-20.47,-21.95,5.95,4.71,3.93,22.28,23.66,16.35,6.58,47.52129223,0,0,0,0,0,17.29584499,3.447827461,0.513549067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21026223,0,2.589381622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457826269,0,12.96401612,0,0,0,0,0
FORD KK CK001,93.42,75.02,48.03,32.74,26.62,-6.8,-5.43,-2.59,0.6,2.12,-21.57,-19.53,-17.49,-18.71,-20.55,6.38,5.34,4.9,22.19,26.29,18.65,6.55,49.42426142,0,0,0,0,0,0,0,0.318752914,0,0,0,0,0,0,0,0,0,0,0,28.52988664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41969506,0,0,0,0,0,0,0,0,4.435031825,0,0,0,0,0,0,0,0,0.649022328,0,5.223349814,0,0,0,0,0
FORD NC CK001,66.98,55.01,33.58,17.98,11.13,-22.59,-19.86,-14.47,-9.57,-6.89,-7.16,-6.85,-5.99,-5.08,-4.37,8.65,7.74,7.54,29.29,30.68,25.84,6.73,23.97208614,0,0,1.837525715,0,1.343294661,0,27.6552146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417614742,0,0,0,0,0,0,0,0,11.97800481,0,0,0,0,1.46456928,24.97890351,0,0,6.352786539,0,0,0
FORD PA CK001,43.97,26.25,9.02,5.01,3.99,-39.74,-28.23,-11.77,-3.64,-1.7,1.03,-1.32,-6.4,-8.37,-7.43,11.51,7.62,2.41,34.59,20.64,8.91,3.97,0,0,0,0,0,0,0,36.84937988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.16607139,0,0,0,0,8.688924544,0,0,0,0,0,0,0,0,0,0,0,0.625136289,0,0,0,0,0,22.66170133,0,0,0,0.321160812,0,0,6.687625753,0,0,0,0
FORD PS CK001,59.13,41.08,21.22,12.59,9.22,-44.79,-33.73,-19.68,-11.27,-7.78,-5.5,-5.38,-6.69,-8.12,-8.09,11.49,8.8,6.02,32.63,24.76,15.35,5.27,0.851293658,0,0,0,0,0,1.984642023,0,0,0,0,0,0,0,0,0,0,0,0,20.32009363,0,0,0,0,0,0,18.96542072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.631442705,0,0,0,0,0.52222764,32.6032382,7.764047292,0,13.35759414,0,0,0
