Constraint_Limit,Real_Pigment_Count,Delta_E
3,3,4.109971523284912
4,8,0.7703311443328857
5,5,8.370985984802246
6,3,3.7875983715057373
7,4,5.487509727478027
8,5,2.32993745803833
