SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
MITSUBISHI P21 CK006,0.958744,68.78,66.42,55.58,35.87,21.01,14.99,38.95,37.23,34.04,27.5,23.11,20.91,9.72,9.23,8.2,6.66,6.42,6.42,40.14,38.36,35.02,28.3,23.99,21.88,14.01,13.92,13.55,13.61,15.52,17.07,10.91,6.12,5.17,24.37,24.86,21.23,6.23,1.596476386,0,0,7.210805537,0,0,44.35823641,15.74985357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05012979,0,0,0,0,0,0,0,0,0,0,0,0,6.903755098,0,0,0,0,21.13524838,1.995494821,0,0,0,0,0,0,0,0,0
MITSUBISHI P21 CK007,0.958024,71.81,68.39,54.29,32.4,18.23,12.92,43.07,41.08,36.54,28.05,22.76,20.43,7.35,6.94,6.32,5.82,7.17,7.75,43.7,41.66,37.08,28.64,23.87,21.85,9.68,9.59,9.81,11.72,17.49,20.77,12.74,6.4,4.55,26.99,22.61,19.71,6.55,0,0,0,10.86599968,0,0,39.36226375,16.90500774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.874992941,0,0,2.45038713,0,20.46279419,1.078554575,0,0,0,0,0,0,0,0,0
MITSUBISHI P26 CK007,0.645715,53.15,49.66,37.24,23.14,19.17,18.05,72.52,69.85,58.75,44.78,39.65,38.13,41.41,40.55,36.41,30.02,25.99,24.45,83.51,80.77,69.12,53.91,47.41,45.3,29.73,30.13,31.79,33.84,33.24,32.67,5.18,3.55,3.15,27.88,22.01,13.87,2.51,0,0,0,0,0,0,0,0.664871479,0,0,0,21.11102032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639458003,0,0,0,0,0,0,0,0,0,0,20.10435053,0,0,0,0,30.91377639,0,0,0.793485962,0,0,0,0,0,25.77303731,0,0,0
MITSUBISHI P26-N CK000,0.911503,24.19,23.42,22.97,22.67,23.59,23.08,37.16,37.69,37.69,37.65,37.41,36.75,18.55,19.05,19.18,18.75,16.18,15.94,41.54,42.23,42.29,42.06,40.76,40.06,26.53,26.81,26.97,26.47,23.39,23.45,1.41,0.94,0.94,1.4,0.23,0.69,0.86,0,0,0,0,0,0,0,3.873015916,1.327928551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.71319812,0,0,0,0,17.58764949,0,0,0,3.498207924,0,0,0,0,0,0,0,0
MITSUBISHI P38 CK003,0.953285,108.34,101.17,78.94,49.92,35.5,30.47,11.13,10.96,10.15,9.65,10.4,10.79,6.2,5.37,5.06,5.78,5.93,5.35,12.74,12.2,11.34,11.25,11.97,12.04,29.09,26.1,26.49,30.91,29.69,26.37,9,6.26,4.71,25.48,22.21,12.95,6.66,0,0,0,0,0,24.67892267,10.5715962,8.617961157,0.290744677,0,0,0,25.19594472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2227966,0,0,0,0,0,0,0,0.882350085,0,0,0.160070391,0,0,0,0,0,0,0,0,0,0,0,0.379613492,0,0,0,0,0,0,0,15.92,0
MITSUBISHI P39 CK101,0.995852,48.13,43.81,28.68,11.67,5.74,4.39,42.94,39.97,29.38,17.06,10.87,7.48,6.89,5.28,4.16,3.08,1.49,0.7,43.49,40.32,29.67,17.34,10.97,7.52,9.12,7.52,8.05,10.24,7.82,5.33,14.05,9.93,6.11,32.25,26.01,9.82,5.29,0,0,0,0,0,3.071035308,0,45.84049943,0.056387246,0,0,0,0,0,26.14994795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.961113045,0,0,0,0,0,0,0,0,0,0,7.599105884,0,0,0,0,0,0,12.88463023,0,0,0,0,0,0.437280906,0,0,0,0,0,0,0,0,0
MITSUBISHI P74 CK081,0.817685,63.09,59.2,44.25,25.99,18.49,15.61,42.72,41.66,35.6,27.89,24.54,22.69,26.66,25.66,21.19,17.35,16.5,15.09,50.36,48.93,41.43,32.85,29.57,27.25,31.97,31.63,30.76,31.89,33.91,33.62,5.13,3.34,2.67,25.69,23.05,11.25,5.37,0,0,0,0,0,0,7.731121043,0,0.08899634,0.582665512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.70113729,0,0,0,0,0,0,13.099309,0,9.489929581,0,0,0,0,45.30684123,0,0,0
MITSUBISHI P78 CK008,0.617789,30.48,27.31,18.83,11.81,10.9,10.32,49.86,47.29,37.88,28.26,25.62,24.56,29.53,28.13,22.86,15.56,14.26,13.44,57.95,55.03,44.25,32.26,29.33,28,30.64,30.74,31.11,28.84,29.11,28.69,5.81,2.71,2.79,30.56,16.78,10.24,1.73,0,0,0,0,0,0,0,8.384803407,0,0,0,0,15.53774381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.904773312,0,0,0,0,0,0,0,1.563324098,41.84928617,0,0,0,0,0,0,2.077650402,0,0,26.323201,0,0,0.359217807,0,0,0,0,0,0,0,0,0
MITSUBISHI R12-A CK000,0.811128,20.3,17.66,10.39,5.15,4.81,4.45,20.67,19.3,13.06,5.16,3.52,2.9,-1.11,-1.52,-1.04,-0.45,-0.44,-0.46,20.7,19.36,13.1,5.18,3.54,2.94,356.92,355.51,355.43,355.07,352.86,351.01,5.85,1.99,2.03,34.21,17.88,4.78,1.3,0,0,0,0,0,0,0,14.08022783,0.039197294,0,0,0,13.52113768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302278228,0,0,0,0,0,21.16759084,0,9.254261337,0,11.11300645,0,0,0,0,30.52230034,0,0,0,0,0,0,0,0
MITSUBISHI R12-A CK002,0.932022,32.87,31.91,31.05,30.65,31.69,30.89,30.28,30.87,30.55,30.31,29.95,29.27,1.48,0.96,0.54,-0.12,-2.54,-2.65,30.32,30.89,30.55,30.31,30.06,29.39,2.8,1.79,1.02,359.77,355.16,354.83,1.28,0.57,1.53,4.08,0.1,0.58,0.94,0,0,0,0,0,0,0,20.04912907,7.402485096,0,0,0,11.57983091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729438168,0,0,0,0,0.528283159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.60194282,0,0,0,18.10889077,0,0,0,0,0,0,0,0
MITSUBISHI R20 CK003,0.629386,40.06,38.02,30.13,20.52,17.1,15.8,56.86,56.07,49.26,40.07,36.15,34.61,22.26,22.99,21.7,21.09,21.68,21.12,61.06,60.6,53.83,45.28,42.15,40.55,21.38,22.3,23.77,27.76,30.95,31.39,5.1,2.34,2.46,25.86,19.75,13.73,2.26,0,0,0,0,0,0,2.69255648,0,0,0,0,0,0,4.756769813,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0611887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93734753,0,0,0,0,46.08511067,0,0,1.147613394,3.319413408,0,0,0,0,0,0,0,0
MITSUBISHI R20 CK004,0.492429,37.66,36.48,29.07,19.42,15.66,14.15,52.49,52.06,47.23,39.87,36.65,35.13,19.11,19.82,19.39,19.4,19.7,18.75,55.86,55.71,51.05,44.34,41.61,39.82,20,20.84,22.32,25.94,28.25,28.09,4.85,2.91,2.34,29.02,22.61,13.93,2.43,0,0,0,0,0,0,2.181293897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04788776,0,0,0,0,0,1.413285049,0,0,0,0,0,0,34.92098875,0,0,0,0,0,0,18.37020424,0,0,21.23011104,0,0,1.474635521,0,0,0,0,0,8.361593745,0,0,0
MITSUBISHI R20 CK103,0.492528,38.04,36.6,28.91,19.19,15.64,14.16,54.32,53.33,48.17,40.39,37.08,35.52,19.91,20.49,20.16,20.31,20.17,19.11,57.86,57.13,52.21,45.21,42.21,40.33,20.13,21.01,22.71,26.7,28.54,28.28,4.65,3,2.27,27.65,21.55,11.52,2.41,0,0,0,0,0,0,2.276321764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04888817,0,0,0,0,0,1.413402403,0,0,0,0,0,0,34.85450325,0,0,0,0,0,0,18.37172964,0,0,21.11953595,0,0,1.463413677,0,0,0,0,0,8.452205138,0,0,0
MITSUBISHI R25 CK003,0.648309,28.84,26.28,19.45,12.85,11.64,10.84,43.98,42.45,35.02,26.5,23.45,21.98,12.48,11.55,11.23,9.59,8.19,7.4,45.72,43.99,36.78,28.18,24.84,23.19,15.84,15.22,17.78,19.89,19.25,18.62,4.88,3.01,2.68,31.87,21.5,12.1,1.5,0,0,0,0,0,0,0,0,0.107907145,0,0,0,26.66925833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15038635,0,0,0,0,2.334918418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.224105538,50.11043639,1.402987827,0,0,0,0,0,0,0,0,0
MITSUBISHI R25 CK004,0.499409,24.14,22.03,16.06,11.34,10.94,10.32,42.14,40.87,34.19,27.71,25.76,24.45,12.21,12.19,11.59,9.74,7.96,7.31,43.88,42.65,36.1,29.37,26.96,25.52,16.15,16.61,18.73,19.36,17.17,16.64,5.02,2.49,2.34,30.33,15.35,8.58,1.38,0,0,0,0,0,0,0,0,0.312046465,0,0,0,18.18692433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56521442,0,0,52.19736982,11.80793263,0,0.930512328,0,0,0,0,0,0,0,0,0
MITSUBISHI R51 CK051,0.973175,44.16,37.83,22.77,10.2,7.77,6.75,55.57,51.12,36.14,20.25,14.93,12.65,25.78,22.58,17.35,9.94,6.54,5.19,61.25,55.89,40.09,22.56,16.3,13.67,24.89,23.83,25.65,26.14,23.65,22.3,7.4,3.77,2.03,32.15,18.85,8.81,2.75,0,0,0,0,0,0,0,24.65934979,0.108139492,0,0,0,0,0,41.39205747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166119977,0,0,0,0,0,0,0,0,0,0,19.56720927,0,0,3.519970628,0,0,0,0,0,0,5.587153378,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI T10 CK101,0.565781,21.87,20.85,20.4,20.25,21.36,20.81,2.09,3.62,4.07,4.45,4.75,4.48,-40.44,-41.4,-41.54,-41.74,-42.62,-41.81,40.5,41.56,41.73,41.98,42.89,42.05,272.96,275,275.6,276.08,276.36,276.11,0.42,0.71,1.24,3.56,1.56,2.54,1.11,0,0,0,0,0,0,0,0.615606983,1.852574286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.19588715,0,0,11.33593158,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI T21 CK010,0.999759,137.24,128.05,98.31,60.37,44.04,39.62,-1.85,-1.58,-1.72,-2.06,-2.29,-2.82,9.94,8.5,3.94,-2.68,-7.42,-9.12,10.11,8.65,4.3,3.38,7.77,9.54,100.52,100.56,113.64,232.5,252.84,252.78,6.84,5.15,4.82,17.16,21.85,13.32,4.94,56.43152287,0,0,0,0,19.41978188,0,0,0.16361306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54097168,0,0,5.166877716,0,0,0,0,0,0,0,0,0,0,0,0,0.053793625,0,0.716354318,0,0,0,0,0,0,0,0,0,0,0.507084852,0,0
MITSUBISHI T25 CK003,0.992778,96.21,92.41,77.67,52.96,37.48,31.37,-1.62,-1.34,-0.87,0.37,2.14,2.98,-7.08,-7.17,-8.96,-13.1,-18.68,-21.37,7.27,7.29,9,13.11,18.8,21.58,257.11,259.39,264.48,271.62,276.55,277.94,5.49,4.26,3.34,18.28,19.97,14.68,5.69,22.19286122,0,0,0,0,0,51.65938656,0,0.254758778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.393244448,6.099182957,0,0,0,0,0,0,0,0,0,0,0,0,0,4.082667098,0,1.400286375,0,0.718103803,5.199508756,0,0,0,0,0,0,0,0
MITSUBISHI T25 CK005,0.965392,97.44,93.56,81.22,56.91,39.06,31.94,-4.4,-3.82,-3.1,-1.31,1.03,2.18,-5.99,-6.14,-7.99,-12.89,-20.23,-23.47,7.44,7.23,8.57,12.96,20.26,23.57,233.71,238.14,248.8,264.21,272.91,275.3,8.73,10.13,8.65,27.24,28.14,22.66,6.29,18.05271311,0,0,0,0,39.40370837,16.88730359,1.283435073,0.035984161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.392411214,8.256015088,0,0,0,0,0,0,0,0,0,0,0,0,0,3.490361671,0,0,0,3.198067722,0,0,0,0,0,0,0,0,0
MITSUBISHI T35 CK101,0.990641,131.84,123.46,94.14,49.89,27.83,21.85,-18.78,-16.81,-13.62,-8.05,-4.28,-3.38,-19.57,-17.82,-16.19,-13.18,-13.66,-15.17,27.13,24.5,21.16,15.44,14.31,15.54,226.18,226.67,229.93,238.56,252.58,257.44,13.4,18.06,14.54,33.39,28.53,21.19,7.27,9.229918932,0,0,77.97982554,0,0,0,3.495440697,0.054050145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.210293053,0,0,1.424864212,0,0.810983916,0,4.794623506,0,0,0,0,0,0,0
MITSUBISHI T65-N CK000,0.995578,17.19,15.54,14.87,14.56,15.92,15.49,-2.18,-1.79,-1.69,-1.57,-0.84,-0.8,-8.15,-9.08,-9.29,-9.77,-11.75,-11.64,8.44,9.26,9.44,9.9,11.78,11.67,255.03,258.86,259.7,260.85,265.93,266.09,2.45,0.94,2.33,11.5,2.52,4.89,0.94,0,0,0,0,0,0,0,36.0401814,0.986874008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.10550696,0,0,0,0,0,0,2.31501572,0,0,32.55242191,0,0,0,0,0,0,0,0
MITSUBISHI T68 CK002,0.990327,127.64,119.04,87.99,52.48,40.58,37.53,-12.98,-11.96,-10.46,-8.56,-8.12,-8.63,1.84,1.03,-4.76,-17.09,-24.43,-26.63,13.11,12.01,11.49,19.12,25.74,27.99,171.95,175.06,204.5,243.39,251.62,252.05,12.67,9.64,8.03,31.95,26.04,14.57,7.24,14.57509875,0,0,70.07352551,0,0,0,0,0.139547243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77256446,0,0,0,0,0,0,0,0,0,0,0,0,0,1.759720577,0,0,0.183231746,0,0.49631172,0,0,0,0,0,0,0,0,0
MITSUBISHI T88 CK007,0.999405,21.7,19.67,10.96,4.88,4.26,3.84,-1.03,-3.28,-1.99,0.12,0.94,0.97,-23.53,-20.89,-13.9,-7.4,-6.05,-5.02,23.55,21.15,14.04,7.4,6.12,5.12,267.49,261.08,261.85,270.91,278.85,280.97,8.05,1.51,1.93,30.99,11.78,5.7,1.74,0,0,0,0,0,0,0,57.09058623,0.06669461,0,0,0,0,0,0,0,0,0,0,0,0,8.43557073,0,0,0,5.637843754,0,0,0,0,0,0,0,0,0,1.863075209,0,7.028354466,0,0,0,0,0,0,0,0,0,0,14.13069438,5.747180625,0,0,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI T92 CK004,0.947383,56.43,53.71,41.63,22.68,11.12,6.61,-38.57,-37,-30.17,-18.56,-9.58,-4.53,-15.98,-13.66,-12.38,-10.81,-10.47,-9.9,41.75,39.44,32.61,21.48,14.2,10.89,202.5,200.27,202.32,210.23,227.54,245.41,13.87,10.31,9.15,30.38,28.52,20.06,5.99,6.177349907,0,2.2098952,0,0,0,0,30.21996866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34138531,0,0,0,0,0,0,0,0,1.32659279,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56826603,0,0,0,2.290544654,0,0,7.865997451,0,0,0,0,0,0
MITSUBISHI T95 CK102,0.858157,13.24,12.25,11.88,11.63,12.83,12.44,10.44,11.56,11.88,11.86,12.21,12.03,-29.01,-29.18,-29.07,-29.14,-30.08,-29.68,30.83,31.39,31.41,31.46,32.47,32.02,289.78,291.61,292.22,292.15,292.1,292.06,1.01,2.46,4.63,12.9,6,5.52,0.85,0,0,0,0,0,0,0,6.763859487,1.31913747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.024370802,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33031916,0,0,6.10929244,54.45302064,0,0,0,0,0,0,0
MITSUBISHI U17 CK101,0.991248,110.66,101.03,67.87,30.18,15.63,10.98,-4.98,-4.61,-3.38,-1.34,0.29,0.81,-3.96,-3.8,-3.65,-2.52,-1.2,-0.6,6.37,5.97,4.97,2.85,1.24,1.01,218.52,219.47,227.19,242.04,283.74,323.51,15.88,15.47,11.65,35.24,26.13,16.96,9.73,0,0,0,46.53247526,0,0,0,22.71970226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40550208,0,0,0,0,8.051657794,0,0,0.555995385,0,0,0,0,0,0.368940417,20.52102139,0.844705405,0,0,0,0,0,18.44,0
MITSUBISHI V02 CK001,0.960283,32.38,28.62,18.73,7.68,4.93,4.2,2.31,2.8,1.82,1.16,1.22,1.15,-3.86,-6.24,-5.59,-4.08,-2.27,-1.5,4.5,6.84,5.88,4.25,2.57,1.88,300.85,294.18,288.04,285.87,298.18,307.43,24.04,13.06,4.79,29.11,21.66,9.74,3.22,0,0,0,0,0,0,0,34.34455328,0,0,0,0,0,0,0,0,0,0,0,6.449248821,0,0,0,13.43593504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.664504567,1.629969164,0,0,0,0,0,1.754459993,32.35511852,4.366210613,0,0,0,0,0,0,0
MITSUBISHI V03 CK002,0.99646,118.34,107.18,71.94,31.92,16.67,11.87,4.99,4.86,4.56,4.74,5.66,5.6,-10.02,-9.35,-7.86,-4.65,-2.21,-1.22,11.2,10.54,9.09,6.64,6.07,5.73,296.47,297.48,300.14,315.59,338.62,347.72,15.15,16.24,13.04,36.28,25.6,15.93,9.5,0,0,0,60.7524429,0,0,0,23.55829439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.678596517,0,0.181934601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191245657,7.828428859,2.809057077,0,0,0,0,0,0,0
MITSUBISHI V73 CK081,0.951372,43.3,39.37,24.77,9.62,4.69,3.66,3.73,3.39,2.94,2.02,1.37,0.91,-30.45,-26.97,-18.58,-9.98,-4.83,-2.74,30.67,27.18,18.81,10.18,5.02,2.88,276.98,277.16,279,281.45,285.81,288.31,14.18,3.58,3.81,31.07,24.71,5.84,4.99,0,13.59713778,0,2.953077657,0,2.953077657,0,25.26202633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949426612,0,0,0,0,0,0,0,0,31.52501797,0,0,22.76023599,0,0,0,0,0,0,0,0,0,0,0
MITSUBISHI X24 CK101,0.999997,6.81,5.53,2.3,1.12,1.08,1.01,1.9,-0.4,-0.17,-0.02,0,0.04,-11.28,-8.85,-2.59,-0.49,-0.38,-0.37,11.44,8.86,2.59,0.49,0.38,0.37,279.55,267.42,266.16,267.72,270.31,276.01,11.51,1.31,1.19,27.72,6.03,0.42,1.51,0,0,0,0,0,0,0,92.35795972,0,0,0,0,0,0,0,0,0,0,0,0,2.272178335,0,0,0,0,0,0.281643546,0,0,0.570899079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617417405,0,0,0,0.664230132,0,0,0,0,0,0.18847032,3.047201459,0,0,0,0,0,0,13.08,0
MITSUBISHI X24 CK101,0.999997,8.04,6.04,2.54,1.19,1.13,1.08,1.9,-0.22,-0.21,-0.04,0.01,0.02,-11.7,-9.31,-2.45,-0.49,-0.34,-0.3,11.85,9.31,2.46,0.49,0.34,0.31,279.24,268.64,265.17,265.77,272.06,273.21,12.24,1.05,1.5,26.95,7.39,1.45,1.41,0,0,0,0,0,0,0,92.35795972,0,0,0,0,0,0,0,0,0,0,0,0,2.272178335,0,0,0,0,0,0.281643546,0,0,0.570899079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617417405,0,0,0,0.664230132,0,0,0,0,0,0.18847032,3.047201459,0,0,0,0,0,0,13.08,0
MITSUBISHI X24 CK102,0.999997,7.76,6.12,2.58,1.22,1.15,1.12,2.41,-0.01,-0.08,-0.02,-0.01,0.02,-11.53,-9.87,-3.13,-0.62,-0.43,-0.34,11.78,9.87,3.13,0.62,0.43,0.34,281.82,269.96,268.61,267.94,269.31,272.68,10.88,1.19,1.58,27.45,7.72,1.51,1.49,0,0,0,0,0,0,0,93.26485409,0,0,0,0,0,0,0,0,0,0,0,0,2.449178679,0,0,0,0,0,0.166817124,0,0,0.6558946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49954682,0,0,0,0.536594522,0,0,0,0,0,0.215246298,2.211867868,0,0,0,0,0,0,12.9,0
MITSUBISHI X42 CK112,0.999998,8.27,5.74,3.35,2.29,2.51,2.49,3.17,1.94,0.3,-0.09,-0.03,-0.02,-4.93,-5.26,-1.66,-0.77,-1.29,-1.32,5.86,5.6,1.69,0.78,1.29,1.32,302.71,290.25,280.08,263.52,268.66,269.24,6.48,1.13,2.48,28.47,13.98,4.63,1.58,0,0,0,0,0,0,0.033158641,96.96458346,0.088319746,0,0,0,0,0,0,0,0,0,0,0,0.707292434,0,0,0,0,0,0,0,0,0.867612053,0,0,0,0,0,0,0,0,0.053523329,0,0,0,0,0,0,0,0,0,0,0,0,1.140751666,0,0.14475867,0,0,0,0,0,0,0,0,0
MITSUBISHI X42 CK115,0.999998,7.64,6.18,3.73,2.64,2.97,2.89,5.04,3.21,1.09,0.3,0.49,0.48,-8.37,-8.3,-2.96,-0.61,-0.9,-0.88,9.77,8.9,3.16,0.68,1.02,1,301.02,291.13,290.19,295.79,298.75,298.77,6.99,1.48,3.38,27.03,11.51,4.59,1.22,0,0,0,0,0,0,0,95.38604719,0.072075359,0,0,0,0,0,0,0,0,0,0,0,1.242166245,0,0,0,0,0,0,0,0,1.289422569,0,0,0,0,0,0,0,0,0.05336713,0.181247083,0,0,0,0,0,0,0,0,0,0,0,1.120914252,0,0.65476017,0,0,0,0,0,0,0,0,0
MITSUBISHI Y05-N CK000,0.991988,73.99,74.43,74.1,74.09,74.53,72.16,4.24,4.62,4.72,4.85,4.82,4.57,35.6,36.99,37.13,37.15,34.91,33.14,35.85,37.27,37.43,37.47,35.24,33.46,83.21,82.88,82.75,82.56,82.14,82.15,0.15,0,0,0.4,0,0,0.54,0,0,0,0,0,0,0,0,32.09668671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.86570638,0,0,0,0,0,0,1.328724144,0,0,0,0,0,2.70888277,0,0,0,0,0,0,0,0
MITSUOKA 023RE CK000,0.947673,79.58,74.92,57.26,35.66,25.55,21.83,60.45,57.84,51.55,41.73,36.6,34.45,-16.16,-15.35,-12.21,-5.16,1.75,4.9,62.57,59.84,52.97,42.05,36.64,34.79,345.03,345.14,346.68,352.96,2.74,8.1,10.61,4.84,3.82,27.2,23.73,14.14,6.62,15.2463133,0,4.389688189,0,12.29742792,9.023171177,3.868567017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.521071381,0,0,0,0,0,47.49297926,0,0,0,0,0,0,0,0,0,0,0,0,0,1.594904844,0,0.565876911,0,0,0,0,0,0,0,0,0
MITSUOKA 024RE CK000,0.937369,93.89,87.65,66.77,37.74,22.67,17.31,33.08,30.74,26.32,19.99,18,17.64,13.73,12.71,10.48,7.75,7,6.7,35.82,33.26,28.33,21.45,19.31,18.87,22.54,22.46,21.71,21.2,21.26,20.78,14.02,11.56,9.57,32.55,27.41,22.36,7.74,0,0,0,26.54183755,0,30.9345426,0,7.758383283,0.068113815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.453361056,0,0,0,0,0,0,0,0,0,0,9.782789579,0,0,0,0,0,0,15.62090594,0.832494182,7.007571998,0,0,0,0,0,0,0,0
MITSUOKA 028RE CK000,0.734721,70.63,66.95,54.25,36.24,26.72,22.58,13.28,13.78,10.55,6.76,5.07,4.35,10.37,7.41,5.33,3.74,2.44,1.52,16.85,15.65,11.82,7.73,5.63,4.6,37.99,28.27,26.82,28.93,25.65,19.32,5.23,3.4,2.64,21.65,20.35,12.22,6.34,0,0,0,0,0,0,12.36983662,0,0.219951785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874304785,50.39685288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.466674082,0,0,0,0,0,0,0,0.670436212,30.19329681,0,0,0,0,0,0.808646822,0,0
MITSUOKA 031BR CK000,0.997928,68.36,68.6,68.22,68.22,68.82,66.72,0.54,0.71,0.75,0.79,0.91,0.88,14.9,15.36,15.28,15.08,13.36,12.51,14.91,15.37,15.3,15.1,13.39,12.54,87.92,87.37,87.19,87,86.08,85.97,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,21.1629109,35.61347727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.493818115,0,22.61490645,0,0,0,0,0,0,0,0,0,0,0,0,19.11488727,0,0,0,0,0,0,0,0
MITSUOKA 034BR CK000,0.979186,118.23,111.74,89.41,53.7,31.92,24.31,7.78,7.2,6.51,5.31,5.86,6.48,25.27,23.78,20.81,15.83,13.69,12.85,26.44,24.85,21.81,16.7,14.89,14.39,72.88,73.15,72.64,71.47,66.84,63.26,10.66,10.17,9.64,27.41,28.33,22.09,6.27,0,0,0,9.50042813,0,48.93802316,16.90604136,5.733976233,0.096399538,0,0,0,0,0,0,0,0,0,4.783030849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954550498,0,0,5.779219264,0,0,0,0,0,0,0,0,0,1.129255654,5.179075307,0,0,0,0,0,0,0,0
MITSUOKA 048YE CK000,0.988525,80.27,81.02,80.78,80.85,81.06,78.4,5.43,6.07,6.22,6.41,6.23,5.71,58.16,60.18,60.4,60.52,57.79,55.22,58.41,60.49,60.72,60.86,58.13,55.52,84.66,84.24,84.12,83.95,83.85,84.09,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.488088532,16.01340926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869811538,0,0,0,0,82.62869067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
