(renkenv310) C:\Users\TAC7\Desktop\RenkAI>python optimize_model.py
📂 Veri önbelleğe alınıyor...
🚀 Hiperparametre Optimizasyonu Başlıyor... (Cihaz: cuda)
⚠️ Bu işlem uzun sürebilir. Arkana yaslan ve kahve al.
differential_evolution step 1: f(x)= 4.1738972663879395
🧬 Deneme: LR=0.00333, Hid=52, Emb=26, Drop=0.24, Batch=126 -> 📉 DeltaE: 6.9669
🧬 Deneme: LR=0.00421, Hid=43, Emb=38, Drop=0.08, Batch=83 -> 📉 DeltaE: 4.8162
🧬 Deneme: LR=0.00046, Hid=213, Emb=22, Drop=0.22, Batch=118 -> 📉 DeltaE: 7.6255
🧬 Deneme: LR=0.00395, Hid=236, Emb=46, Drop=0.00, Batch=124 -> 📉 DeltaE: 4.0758
🧬 Deneme: LR=0.00715, Hid=90, Emb=37, Drop=0.09, Batch=85 -> 📉 DeltaE: 5.3160
🧬 Deneme: LR=0.00480, Hid=225, Emb=10, Drop=0.26, Batch=72 -> 📉 DeltaE: 5.9005
🧬 Deneme: LR=0.00778, Hid=242, Emb=46, Drop=0.08, Batch=51 -> 📉 DeltaE: 5.6641
🧬 Deneme: LR=0.00638, Hid=163, Emb=44, Drop=0.03, Batch=31 -> 📉 DeltaE: 4.8345
🧬 Deneme: LR=0.00154, Hid=219, Emb=40, Drop=0.08, Batch=79 -> 📉 DeltaE: 4.4468
🧬 Deneme: LR=0.00236, Hid=214, Emb=46, Drop=0.08, Batch=125 -> 📉 DeltaE: 4.2414
🧬 Deneme: LR=0.00299, Hid=141, Emb=24, Drop=0.20, Batch=102 -> 📉 DeltaE: 5.2130
🧬 Deneme: LR=0.00075, Hid=82, Emb=16, Drop=0.19, Batch=99 -> 📉 DeltaE: 8.1403
🧬 Deneme: LR=0.00445, Hid=129, Emb=45, Drop=0.15, Batch=97 -> 📉 DeltaE: 4.7786
🧬 Deneme: LR=0.00680, Hid=94, Emb=13, Drop=0.14, Batch=45 -> 📉 DeltaE: 5.9720
🧬 Deneme: LR=0.00182, Hid=42, Emb=22, Drop=0.16, Batch=66 -> 📉 DeltaE: 6.6117
🧬 Deneme: LR=0.00873, Hid=240, Emb=27, Drop=0.29, Batch=110 -> 📉 DeltaE: 6.2553
🧬 Deneme: LR=0.00268, Hid=230, Emb=43, Drop=0.21, Batch=105 -> 📉 DeltaE: 5.3319
🧬 Deneme: LR=0.00854, Hid=171, Emb=14, Drop=0.26, Batch=117 -> 📉 DeltaE: 6.0222
🧬 Deneme: LR=0.00212, Hid=115, Emb=13, Drop=0.09, Batch=47 -> 📉 DeltaE: 5.0612
🧬 Deneme: LR=0.00490, Hid=207, Emb=42, Drop=0.19, Batch=28 -> 📉 DeltaE: 5.9598
