SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
MMCC SMART EA6 CK001,REAL,0.0,25.37,18.8,-53.13,19.59,15.78,-44.96,12.83,12.83,-34.5,10.7,11.92,-29.35,9.46,11.36,-26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198817512,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7.861680876,39.27230022,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,8.657661484,0.0,0.0,0.0,1.479485694,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,25.13903012,0.0,15.5120689,0.0,1.878955195,0.0,0.0,0.0,0.0,0.0,0,0.0
MMCC SMART EA6 CK001,PRED,4.199999809265137,32.5,18.75,-54.720001220703125,24.170000076293945,14.949999809265137,-43.849998474121094,14.289999961853027,12.100000381469727,-32.09000015258789,10.579999923706055,11.399999618530273,-26.6200008392334,8.670000076293945,10.729999542236328,-23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198817512,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7.861680876,39.27230022,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,8.657661484,0.0,0.0,0.0,1.479485694,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,25.13903012,0.0,15.5120689,0.0,1.878955195,0.0,0.0,0.0,0.0,0.0,0,0.0
MOTOYOTA 9AD CK002,REAL,0.0,75.15,5.87,-41.55,61.6,6.0,-38.13,38.77,6.32,-30.81,22.57,8.03,-25.89,15.85,8.88,-23.37,13.33101369,0.0,5.087924449,0.0,14.2388677,0.0,31.01318886,0.0,0.051769822,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.041479856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,8.740593874,0.0,19.55535949,0.0,2.4845441,0.0,4.455258163,0.0,0.0,0.0,0,0.0
MOTOYOTA 9AD CK002,PRED,2.9800000190734863,73.81999969482422,8.25,-40.90999984741211,62.220001220703125,8.0,-37.66999816894531,41.790000915527344,7.5,-30.75,25.940000534057617,8.739999771118164,-26.40999984741211,18.75,9.569999694824219,-24.610000610351562,13.33101369,0.0,5.087924449,0.0,14.2388677,0.0,31.01318886,0.0,0.051769822,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.041479856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,8.740593874,0.0,19.55535949,0.0,2.4845441,0.0,4.455258163,0.0,0.0,0.0,0,0.0
MOVOLVO 420 CK001,REAL,0.0,43.6,8.52,-14.01,30.92,7.72,-11.75,17.02,7.1,-8.37,11.89,7.57,-6.96,9.72,7.32,-6.41,9.099244557,0.0,0.0,0.0,0.0,0.0,0.0,26.97125615,0.227276881,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,24.07132769,0.0,0.0,0.0,0.757348407,0.0,0.0,0,0.0,13.04586764,0.0,0,0.0,0.0,0.0,0.0,1.466544087,0.0,0.0,24.36113458,0.0,0.0,0.0,0.0,0,0.0
MOVOLVO 420 CK001,PRED,4.543000221252441,51.650001525878906,9.630000114440918,-13.260000228881836,37.599998474121094,8.600000381469727,-11.170000076293945,20.84000015258789,7.75,-7.920000076293945,13.359999656677246,8.300000190734863,-5.960000038146973,10.600000381469727,7.760000228881836,-4.699999809265137,9.099244557,0.0,0.0,0.0,0.0,0.0,0.0,26.97125615,0.227276881,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,24.07132769,0.0,0.0,0.0,0.757348407,0.0,0.0,0,0.0,13.04586764,0.0,0,0.0,0.0,0.0,0.0,1.466544087,0.0,0.0,24.36113458,0.0,0.0,0.0,0.0,0,0.0
SIMITSUOKA 111PU CK001,REAL,0.0,17.11,25.77,-12.71,9.86,18.42,-8.26,4.83,9.13,-1.97,4.4,7.11,-0.22,4.11,6.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.08194673,0.0,0.0,0,0.0,0.0,0.0,0,3.830431802,0,1.61219403,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,12.09145523,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.676234219,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19.81741946,0.0,0.0,0.0,0.0,0.0,0.913076323,28.97724221,0.0,0.0,0.0,0.0,0,0.0
SIMITSUOKA 111PU CK001,PRED,8.916000366210938,29.65999984741211,28.8700008392334,-6.699999809265137,20.309999465942383,21.860000610351562,-4.159999847412109,11.140000343322754,14.029999732971191,-2.4100000858306885,8.550000190734863,10.550000190734863,-2.319999933242798,7.400000095367432,8.84000015258789,-2.1600000858306885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.08194673,0.0,0.0,0,0.0,0.0,0.0,0,3.830431802,0,1.61219403,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,12.09145523,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.676234219,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19.81741946,0.0,0.0,0.0,0.0,0.0,0.913076323,28.97724221,0.0,0.0,0.0,0.0,0,0.0
STOYOTA 580 CK101,REAL,0.0,107.92,9.19,77.43,81.89,7.55,62.76,47.73,4.61,41.29,31.1,3.28,30.49,25.13,3.27,27.24,54.9573977,0.0,0.0,0.0,0.0,0.0,0.0,3.069512856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.31321194,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772463225,0.0,0.621298988,0.0,26.26611529,0,0.0
STOYOTA 580 CK101,PRED,6.5279998779296875,103.36000061035156,14.84000015258789,68.11000061035156,78.43000030517578,12.510000228881836,56.529998779296875,45.41999816894531,8.229999542236328,38.47999954223633,29.559999465942383,6.210000038146973,28.989999771118164,24.420000076293945,6.210000038146973,25.739999771118164,54.9573977,0.0,0.0,0.0,0.0,0.0,0.0,3.069512856,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.31321194,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772463225,0.0,0.621298988,0.0,26.26611529,0,0.0
